"","AtlasSp","AtlasID","match_type","match","Synonyms","TaxID","AtlasSp_new","ScientificName"
"1","Luscinia svecica",115,"direct",1,"Luscinia svecica",5744,"Luscinia svecica","Luscinia svecica"
"2","Butorides striata",425,"direct",1,"Butorides virescens",8852,"Butorides striata","Butorides striata"
"3","Periparus ater",504,"direct",1,"Parus ater",9552,"Periparus ater","Periparus ater"
"4","Poecile montanus",516,"direct",1,"Parus montanus",11066,"Poecile montanus","Poecile montanus"
"5","Poecile palustris",517,"direct",1,"Parus palustris",9555,"Poecile palustris","Poecile palustris"
"6","Saxicola torquatus",525,"direct",1,"Saxicola torquata",5822,"Saxicola torquatus","Saxicola torquatus"
"7","Tetrastes bonasia",535,"direct",1,NA,263,"Tetrastes bonasia","Tetrastes bonasia"
"8","Acanthis flammea",549,"direct",1,"Carduelis flammea",8483,"Acanthis flammea","Acanthis flammea"
"9","Calliope calliope",607,"direct",1,"Luscinia calliope",5743,"Calliope calliope","Calliope calliope"
"10","Cecropis daurica",616,"direct",1,NA,10612,"Cecropis daurica","Cecropis daurica"
"11","Chloris chloris",626,"direct",1,"Chloris chloris; Carduelis chloris",7566,"Chloris chloris","Chloris chloris"
"12","Clanga pomarina",633,"direct",1,"Aquila pomarina",3076,"Clanga pomarina","Clanga pomarina"
"13","Cyanistes caeruleus",639,"direct",1,NA,10352,"Cyanistes caeruleus","Cyanistes caeruleus"
"14","Delichon urbicum",645,"direct",1,NA,10602,"Delichon urbicum","Delichon urbicum"
"15","Dryobates minor",646,"direct",1,"Dendrocopos minor",575,"Dryobates minor","Dryobates minor"
"16","Emberiza calandra",651,"direct",1,"Emberiza calandra; Miliaria calandra",7708,"Emberiza calandra","Emberiza calandra"
"17","Eudromias morinellus",661,"direct",1,"Charadrius morinellus",2737,"Eudromias morinellus","Eudromias morinellus"
"18","Hydroprogne caspia",692,"direct",1,"Hydroprogne caspia; Sterna caspia",2837,"Hydroprogne caspia","Hydroprogne caspia"
"19","Leiopicus medius",708,"direct",1,"Dendrocopos medius",582,"Leiopicus medius","Leiopicus medius"
"20","Linaria cannabina",710,"direct",1,"Acanthis cannabina; Carduelis cannabina",7591,"Linaria cannabina","Linaria cannabina"
"21","Lophophanes cristatus",712,"direct",1,"Parus cristatus",6131,"Lophophanes cristatus","Lophophanes cristatus"
"22","Lyrurus tetrix",717,"direct",1,"Tetrao tetrix",259,"Lyrurus tetrix","Lyrurus tetrix"
"23","Mareca strepera",719,"direct",1,"Anas strepera",386,"Mareca strepera","Mareca strepera"
"24","Regulus ignicapilla",785,"direct",1,NA,9427,"Regulus ignicapilla","Regulus ignicapilla"
"25","Spatula clypeata",795,"direct",1,"Anas clypeata",406,"Spatula clypeata","Spatula clypeata"
"26","Spatula querquedula",796,"direct",1,"Anas querquedula",416,"Spatula querquedula","Spatula querquedula"
"27","Spinus spinus",798,"direct",1,"Carduelis spinus",7571,"Spinus spinus","Spinus spinus"
"28","Sternula albifrons",803,"direct",1,"Sternula albifrons; Sterna albifrons",2855,"Sternula albifrons","Sternula albifrons"
"29","Zapornia parva",839,"direct",1,"Porzana parva",2509,"Zapornia parva","Zapornia parva"
"30","Anas clypeata",13,"synonym",1,"Anas clypeata",406,"Spatula clypeata","Spatula clypeata"
"31","Anas querquedula",16,"synonym",1,"Anas querquedula",416,"Spatula querquedula","Spatula querquedula"
"32","Anas strepera",17,"synonym",1,"Anas strepera",386,"Mareca strepera","Mareca strepera"
"33","Aquila pomarina",24,"synonym",1,"Aquila pomarina",3076,"Clanga pomarina","Clanga pomarina"
"34","Carduelis flammea",42,"synonym",1,"Carduelis flammea",8483,"Acanthis flammea","Acanthis flammea"
"35","Carduelis spinus",43,"synonym",1,"Carduelis spinus",7571,"Spinus spinus","Spinus spinus"
"36","Charadrius morinellus",48,"synonym",1,"Charadrius morinellus",2737,"Eudromias morinellus","Eudromias morinellus"
"37","Dendrocopos medius",71,"synonym",1,"Dendrocopos medius",582,"Leiopicus medius","Leiopicus medius"
"38","Dendrocopos minor",72,"synonym",1,"Dendrocopos minor",575,"Dryobates minor","Dryobates minor"
"39","Parus ater",133,"synonym",1,"Parus ater",9552,"Periparus ater","Periparus ater"
"40","Parus cristatus",135,"synonym",1,"Parus cristatus",6131,"Lophophanes cristatus","Lophophanes cristatus"
"41","Parus montanus",137,"synonym",1,"Parus montanus",11066,"Poecile montanus","Poecile montanus"
"42","Parus palustris",138,"synonym",1,"Parus palustris",9555,"Poecile palustris","Poecile palustris"
"43","Porzana parva",159,"synonym",1,"Porzana parva",2509,"Zapornia parva","Zapornia parva"
"44","Saxicola torquata",171,"synonym",1,"Saxicola torquata",5822,"Saxicola torquatus","Saxicola torquatus"
"45","Tetrao tetrix",187,"synonym",1,"Tetrao tetrix",259,"Lyrurus tetrix","Lyrurus tetrix"
"46","Butorides virescens",233,"synonym",1,"Butorides virescens",8852,"Butorides striata","Butorides striata"
"47","Seiurus motacilla",368,"synonym",1,"Seiurus motacilla",7846,"Parkesia noveboracensis","Parkesia noveboracensis"
"48","Luscinia calliope",488,"synonym",1,"Luscinia calliope",5743,"Calliope calliope","Calliope calliope"
"49","Bonasa bonasia",33,"manually",1,NA,263,"Tetrastes bonasia","Tetrastes bonasia"
"50","Carduelis cannabina",39,"manually",1,"Acanthis cannabina; Carduelis cannabina",7591,"Linaria cannabina","Linaria cannabina"
"51","Carduelis chloris",41,"manually",1,"Chloris chloris; Carduelis chloris",7566,"Chloris chloris","Chloris chloris"
"52","Delichon urbica",68,"manually",1,NA,10602,"Delichon urbicum","Delichon urbicum"
"53","Miliaria calandra",118,"manually",1,"Emberiza calandra; Miliaria calandra",7708,"Emberiza calandra","Emberiza calandra"
"54","Parus caeruleus",134,"manually",1,NA,10352,"Cyanistes caeruleus","Cyanistes caeruleus"
"55","Regulus ignicapillus",166,"manually",1,NA,9427,"Regulus ignicapilla","Regulus ignicapilla"
"56","Hydropogne caspia",299,"manually",1,"Hydroprogne caspia; Sterna caspia",2837,"Hydroprogne caspia","Hydroprogne caspia"
"57","Seiurus noveboracensis",369,"manually",1,"Seiurus motacilla",7846,"Parkesia noveboracensis","Parkesia noveboracensis"
"58","Hirundo daurica",468,"manually",1,NA,10612,"Cecropis daurica","Cecropis daurica"
"59","Sterna albifrons",528,"manually",1,"Sternula albifrons; Sterna albifrons",2855,"Sternula albifrons","Sternula albifrons"
"60","Cyanecula svecica",638,"manually",1,"Luscinia svecica",5744,"Luscinia svecica","Luscinia svecica"
