"","mean_prob_cooccur","nsDist","ewDist","maxDist","lengthMinRect","widthMinRect","elonMinRect","elonRatio","circ","circNorm","relCirc","lin","bearingMinRect","bearing","Dist_toCOD","minDist_toBorder","maxDist_toBorder","sp_COG_long","sp_COG_lat","atlas_xmin","atlas_xmax","atlas_xhalf","atlas_ymin","atlas_ymax","atlas_yhalf","atlas_nsDist","atlas_ewDist","atlas_maxDist","atlas_lengthMinRect","atlas_widthMinRect","atlas_elonMinRect","atlas_elonRatio","atlas_circ","atlas_circNorm","atlas_relCirc","atlas_lin","atlas_bearingMinRect","atlas_bearing","CenterOfGravity_Atlas_long","CenterOfGravity_Atlas_lat","Southernness","Westernness","log_R2_1","Telfer_1_2","Total_area","relative_occupancy_Ncells","m_AOO_s","m_relOcc_s","D_AOO_s","D_relOcc_s","D_AOO_a","D_relOcc_a","total_SR_atlas","sd_PC1","sd_PC2","var_PC1","var_PC2","AlphaSR_sp","BetaSR_sp","GammaSR","avgEffort","global_moran","mean_area","mean_area_cropped","HWI","Mass","Range.Size","FP","start_year","end_year","SampPeriodLength"
"mean_prob_cooccur",1,-0.33,-0.33,-0.35,-0.34,-0.28,-0.22,0.1,-0.23,-0.23,-0.79,-0.3,-0.43,-0.58,-0.51,-0.09,-0.56,0.14,-0.06,0.64,-0.27,NA,0.64,-0.54,NA,-0.58,-0.58,-0.58,-0.58,-0.61,-0.49,-0.46,-0.59,-0.59,-0.65,-0.57,0.64,-0.58,0.18,-0.06,-0.06,0.09,-0.21,0.03,-0.58,0.97,-0.73,-0.72,0.73,0.72,0.73,0.71,-0.6,0.15,0.19,0.12,0.18,0.07,-0.16,-0.6,-0.14,-0.47,-0.57,-0.57,-0.24,-0.13,0.24,-0.1,0.33,-0.09,-0.52
"nsDist",-0.33,1,0.95,0.94,0.94,0.92,-0.11,-0.25,0.6,0.6,0.17,-0.06,0.39,0.51,0.13,-0.1,0.77,0.18,0.28,-0.42,0.61,NA,-0.72,0.73,NA,0.73,0.73,0.73,0.73,0.73,0.72,0.71,0.73,0.73,0.71,0.73,-0.43,0.73,0.22,0.45,-0.11,0.18,0.04,0.04,0.73,-0.14,-0.18,-0.2,0.18,0.2,0.21,0.23,0.73,0.08,-0.01,0.06,-0.02,0.27,0,0.73,-0.21,0.72,0.73,0.73,0.1,0.01,0.07,0.05,-0.6,-0.12,0.75
"ewDist",-0.33,0.95,1,0.99,0.97,0.94,-0.09,-0.22,0.62,0.62,0.21,-0.04,0.4,0.53,0.12,-0.11,0.78,0.19,0.21,-0.41,0.62,NA,-0.72,0.74,NA,0.74,0.74,0.74,0.74,0.73,0.72,0.71,0.74,0.74,0.72,0.74,-0.43,0.74,0.23,0.46,-0.04,0.18,0.07,0.05,0.74,-0.15,-0.18,-0.21,0.18,0.21,0.22,0.25,0.74,0.11,0.05,0.08,0.04,0.32,-0.02,0.74,-0.22,0.71,0.74,0.74,0.1,0.03,0.06,0.06,-0.64,-0.15,0.77
"maxDist",-0.35,0.94,0.99,1,0.98,0.93,-0.06,-0.21,0.61,0.61,0.22,-0.01,0.41,0.55,0.15,-0.11,0.8,0.19,0.17,-0.43,0.64,NA,-0.75,0.76,NA,0.76,0.76,0.76,0.76,0.76,0.75,0.74,0.76,0.76,0.74,0.76,-0.44,0.76,0.24,0.47,0,0.19,0.07,0.04,0.76,-0.17,-0.16,-0.19,0.16,0.19,0.2,0.23,0.76,0.09,0.06,0.07,0.05,0.31,-0.01,0.76,-0.23,0.72,0.76,0.76,0.09,0.04,0.05,0.07,-0.65,-0.15,0.79
"lengthMinRect",-0.34,0.94,0.97,0.98,1,0.9,0.03,-0.14,0.58,0.58,0.22,0,0.39,0.53,0.14,-0.11,0.79,0.19,0.14,-0.42,0.63,NA,-0.74,0.75,NA,0.75,0.75,0.75,0.75,0.75,0.74,0.73,0.75,0.75,0.73,0.75,-0.44,0.75,0.24,0.47,0.02,0.19,0.07,0.05,0.75,-0.16,-0.16,-0.19,0.16,0.19,0.2,0.23,0.75,0.08,0.06,0.06,0.05,0.31,-0.01,0.75,-0.23,0.7,0.75,0.75,0.1,0.04,0.05,0.07,-0.64,-0.14,0.78
"widthMinRect",-0.28,0.92,0.94,0.93,0.9,1,-0.32,-0.39,0.62,0.62,0.1,-0.17,0.37,0.5,0.05,-0.11,0.74,0.21,0.16,-0.38,0.59,NA,-0.69,0.7,NA,0.7,0.7,0.7,0.7,0.7,0.69,0.68,0.7,0.7,0.68,0.7,-0.4,0.7,0.23,0.44,-0.01,0.14,0.06,0.06,0.7,-0.09,-0.24,-0.27,0.24,0.27,0.28,0.31,0.7,0.07,0.08,0.05,0.07,0.38,-0.03,0.7,-0.22,0.71,0.7,0.7,0.03,-0.01,0.08,0.04,-0.61,-0.15,0.74
"elonMinRect",-0.22,-0.11,-0.09,-0.06,0.03,-0.32,1,0.69,-0.2,-0.2,0.4,0.65,0.04,0.09,0.17,0.11,-0.01,-0.19,-0.09,-0.15,-0.1,NA,-0.03,-0.02,NA,0,0,0,0,0.02,-0.04,-0.05,0,0,0.04,-0.01,-0.14,0,-0.17,-0.14,0.1,-0.02,0.07,-0.01,0,-0.27,0.4,0.4,-0.4,-0.4,-0.4,-0.4,0.01,-0.01,-0.09,-0.02,-0.09,-0.24,0.04,0.01,0.17,-0.13,-0.01,-0.01,0.16,0.13,-0.12,0.04,0.03,0.03,-0.02
"elonRatio",0.1,-0.25,-0.22,-0.21,-0.14,-0.39,0.69,1,-0.21,-0.21,0.1,0.11,-0.13,-0.14,-0.04,0.08,-0.24,-0.06,-0.04,0.16,-0.18,NA,0.24,-0.23,NA,-0.24,-0.24,-0.24,-0.24,-0.24,-0.23,-0.22,-0.24,-0.24,-0.24,-0.24,0.16,-0.24,-0.04,-0.12,0.08,-0.03,0.01,-0.03,-0.24,0.03,0.11,0.11,-0.11,-0.11,-0.12,-0.13,-0.24,0.05,-0.02,0.04,-0.01,-0.15,-0.06,-0.24,0.1,-0.3,-0.24,-0.24,0.09,0.04,-0.07,0.02,0.15,-0.02,-0.22
"circ",-0.23,0.6,0.62,0.61,0.58,0.62,-0.2,-0.21,1,1,0.23,-0.22,0.24,0.23,-0.19,-0.1,0.33,0.01,0.05,-0.22,0.21,NA,-0.3,0.28,NA,0.29,0.29,0.29,0.29,0.3,0.27,0.26,0.29,0.29,0.3,0.29,-0.22,0.29,0.03,0.13,-0.04,0.11,-0.04,-0.07,0.29,-0.12,-0.31,-0.33,0.31,0.33,0.32,0.34,0.29,0.2,0.14,0.18,0.14,0.33,-0.1,0.29,-0.07,0.33,0.29,0.29,0.13,-0.02,0.16,0.06,-0.32,-0.12,0.36
"circNorm",-0.23,0.6,0.62,0.61,0.58,0.62,-0.2,-0.21,1,1,0.23,-0.22,0.24,0.23,-0.19,-0.1,0.33,0.01,0.05,-0.22,0.21,NA,-0.3,0.28,NA,0.29,0.29,0.29,0.29,0.3,0.27,0.26,0.29,0.29,0.3,0.29,-0.22,0.29,0.03,0.13,-0.04,0.11,-0.04,-0.07,0.29,-0.12,-0.31,-0.33,0.31,0.33,0.32,0.34,0.29,0.2,0.14,0.18,0.14,0.33,-0.1,0.29,-0.07,0.33,0.29,0.29,0.13,-0.02,0.16,0.06,-0.32,-0.12,0.36
"relCirc",-0.79,0.17,0.21,0.22,0.22,0.1,0.4,0.1,0.23,0.23,1,0.4,0.26,0.38,0.26,0.07,0.26,-0.23,0.03,-0.45,0,NA,-0.32,0.21,NA,0.26,0.25,0.25,0.25,0.29,0.17,0.14,0.26,0.26,0.33,0.24,-0.45,0.25,-0.28,-0.14,0.01,-0.14,0.15,-0.04,0.25,-0.82,0.6,0.58,-0.6,-0.58,-0.61,-0.6,0.27,-0.02,-0.11,-0.02,-0.12,-0.07,0.04,0.27,0.24,0.13,0.24,0.24,0.31,0.16,-0.14,0.13,-0.14,0.07,0.24
"lin",-0.3,-0.06,-0.04,-0.01,0,-0.17,0.65,0.11,-0.22,-0.22,0.4,1,0.13,0.19,0.28,0.08,0.11,-0.26,-0.15,-0.32,-0.08,NA,-0.17,0.09,NA,0.12,0.12,0.12,0.12,0.15,0.05,0.03,0.12,0.12,0.18,0.1,-0.32,0.12,-0.26,-0.17,0.09,-0.04,0.09,0.02,0.12,-0.33,0.48,0.48,-0.48,-0.48,-0.48,-0.46,0.13,-0.08,-0.12,-0.07,-0.12,-0.27,0.13,0.13,0.23,-0.04,0.11,0.11,0.08,0.14,-0.14,0,-0.01,0.09,0.07
"bearingMinRect",-0.43,0.39,0.4,0.41,0.39,0.37,0.04,-0.13,0.24,0.24,0.26,0.13,1,0.56,0.22,0.05,0.44,-0.06,0.07,-0.4,0.26,NA,-0.46,0.41,NA,0.43,0.43,0.43,0.43,0.45,0.38,0.37,0.44,0.44,0.46,0.42,-0.4,0.43,-0.05,0.12,0.01,0.03,0.07,0,0.43,-0.36,0.21,0.2,-0.21,-0.2,-0.2,-0.18,0.44,-0.03,-0.05,-0.03,-0.05,0.04,0.03,0.44,0.04,0.4,0.43,0.43,0.13,0.03,-0.08,0.08,-0.33,-0.04,0.43
"bearing",-0.58,0.51,0.53,0.55,0.53,0.5,0.09,-0.14,0.23,0.23,0.38,0.19,0.56,1,0.31,0.05,0.6,-0.05,0.07,-0.54,0.34,NA,-0.62,0.56,NA,0.59,0.59,0.59,0.59,0.61,0.52,0.5,0.59,0.59,0.63,0.58,-0.55,0.59,-0.07,0.16,0.06,-0.06,0.13,0.01,0.58,-0.48,0.31,0.28,-0.31,-0.28,-0.28,-0.26,0.6,-0.08,-0.07,-0.07,-0.07,0.07,0.07,0.6,0.05,0.52,0.58,0.58,0.11,0.06,-0.14,0.1,-0.43,-0.02,0.58
"Dist_toCOD",-0.51,0.13,0.12,0.15,0.14,0.05,0.17,-0.04,-0.19,-0.19,0.26,0.28,0.22,0.31,1,0,0.66,0.21,0.31,-0.41,0.54,NA,-0.67,0.67,NA,0.67,0.67,0.67,0.67,0.67,0.65,0.64,0.67,0.67,0.67,0.67,-0.43,0.67,0.17,0.38,-0.13,-0.02,0.16,0,0.67,-0.54,0.56,0.6,-0.56,-0.6,-0.55,-0.56,0.67,-0.31,-0.33,-0.25,-0.31,-0.52,0.41,0.67,-0.17,0.43,0.67,0.67,0.19,0.07,-0.3,0.08,-0.23,0.23,0.48
"minDist_toBorder",-0.09,-0.1,-0.11,-0.11,-0.11,-0.11,0.11,0.08,-0.1,-0.1,0.07,0.08,0.05,0.05,0,1,-0.06,-0.1,-0.1,-0.07,-0.1,NA,0.02,-0.05,NA,-0.04,-0.04,-0.04,-0.04,-0.03,-0.06,-0.07,-0.04,-0.04,-0.01,-0.04,-0.07,-0.04,-0.12,-0.12,0.03,-0.05,0.02,0.01,-0.04,-0.11,0.21,0.2,-0.21,-0.2,-0.21,-0.2,-0.03,-0.01,0,-0.01,0,0.04,-0.02,-0.03,0.07,-0.12,-0.04,-0.04,-0.01,0,-0.06,0.01,0.04,0.02,-0.04
"maxDist_toBorder",-0.56,0.77,0.78,0.8,0.79,0.74,-0.01,-0.24,0.33,0.33,0.26,0.11,0.44,0.6,0.66,-0.06,1,0.31,0.28,-0.57,0.82,NA,-0.97,0.98,NA,0.99,0.99,0.99,0.99,0.99,0.97,0.95,0.99,0.99,0.97,0.99,-0.59,0.99,0.29,0.6,-0.04,0.08,0.18,0.06,0.99,-0.44,0.23,0.22,-0.23,-0.22,-0.18,-0.16,0.99,-0.16,-0.16,-0.14,-0.15,0.01,0.23,0.99,-0.28,0.79,0.99,0.99,0.13,0.07,-0.17,0.08,-0.64,0.02,0.9
"sp_COG_long",0.14,0.18,0.19,0.19,0.19,0.21,-0.19,-0.06,0.01,0.01,-0.23,-0.26,-0.06,-0.05,0.21,-0.1,0.31,1,0.38,0.53,0.72,NA,-0.13,0.37,NA,0.28,0.29,0.29,0.29,0.2,0.47,0.51,0.28,0.28,0.1,0.32,0.51,0.29,0.9,0.85,-0.08,-0.18,0.17,0.11,0.3,0.16,-0.26,-0.22,0.26,0.22,0.26,0.22,0.25,-0.11,0.02,-0.1,0.01,0.21,0.14,0.25,-0.75,0.24,0.31,0.32,0,0.02,0.01,-0.02,-0.24,-0.15,0.23
"sp_COG_lat",-0.06,0.28,0.21,0.17,0.14,0.16,-0.09,-0.04,0.05,0.05,0.03,-0.15,0.07,0.07,0.31,-0.1,0.28,0.38,1,0.05,0.33,NA,-0.19,0.26,NA,0.24,0.24,0.24,0.24,0.22,0.28,0.29,0.24,0.24,0.18,0.25,0.04,0.24,0.29,0.33,-0.8,-0.13,-0.01,-0.01,0.24,-0.05,-0.06,-0.01,0.06,0.01,0.05,-0.02,0.23,0.04,-0.25,0,-0.24,-0.19,0.08,0.23,-0.27,0.23,0.25,0.25,0.2,0.05,-0.05,0.1,-0.1,0.03,0.16
"atlas_xmin",0.64,-0.42,-0.41,-0.43,-0.42,-0.38,-0.15,0.16,-0.22,-0.22,-0.45,-0.32,-0.4,-0.54,-0.41,-0.07,-0.57,0.53,0.05,1,-0.01,NA,0.72,-0.49,NA,-0.58,-0.57,-0.58,-0.58,-0.65,-0.38,-0.33,-0.59,-0.59,-0.74,-0.54,1,-0.57,0.61,0.3,0.02,0.09,-0.04,0.02,-0.57,0.57,-0.53,-0.47,0.53,0.47,0.47,0.41,-0.61,0.11,0.18,0.09,0.17,0.25,-0.15,-0.61,-0.49,-0.42,-0.55,-0.55,-0.07,-0.04,0.22,-0.06,0.31,-0.17,-0.55
"atlas_xmax",-0.27,0.61,0.62,0.64,0.63,0.59,-0.1,-0.18,0.21,0.21,0,-0.08,0.26,0.34,0.54,-0.1,0.82,0.72,0.33,-0.01,1,NA,-0.71,0.88,NA,0.82,0.83,0.82,0.82,0.77,0.93,0.95,0.82,0.82,0.68,0.85,-0.04,0.83,0.78,0.95,0.01,0.22,0.19,0.08,0.83,-0.18,-0.02,0,0.02,0,0.05,0.04,0.8,-0.15,-0.1,-0.13,-0.08,0.21,0.17,0.8,-0.68,0.66,0.84,0.84,0.1,0.07,-0.1,0.06,-0.56,-0.08,0.72
"atlas_xhalf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atlas_ymin",0.64,-0.72,-0.72,-0.75,-0.74,-0.69,-0.03,0.24,-0.3,-0.3,-0.32,-0.17,-0.46,-0.62,-0.67,0.02,-0.97,-0.13,-0.19,0.72,-0.71,NA,1,-0.96,NA,-0.98,-0.98,-0.98,-0.98,-1,-0.92,-0.89,-0.99,-0.99,-1,-0.97,0.73,-0.98,-0.11,-0.45,0.01,-0.09,-0.17,-0.04,-0.98,0.53,-0.36,-0.33,0.36,0.33,0.3,0.27,-0.99,0.19,0.2,0.16,0.18,0.03,-0.22,-0.99,0.13,-0.76,-0.98,-0.98,-0.12,-0.07,0.22,-0.08,0.61,-0.07,-0.89
"atlas_ymax",-0.54,0.73,0.74,0.76,0.75,0.7,-0.02,-0.23,0.28,0.28,0.21,0.09,0.41,0.56,0.67,-0.05,0.98,0.37,0.26,-0.49,0.88,NA,-0.96,1,NA,0.99,1,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.95,1,-0.51,1,0.39,0.68,-0.01,0.15,0.19,0.06,1,-0.43,0.23,0.23,-0.23,-0.23,-0.18,-0.17,0.99,-0.19,-0.17,-0.16,-0.16,0.06,0.21,0.99,-0.36,0.77,1,1,0.12,0.08,-0.19,0.08,-0.63,0.02,0.89
"atlas_yhalf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atlas_nsDist",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.26,0.12,0.43,0.59,0.67,-0.04,0.99,0.28,0.24,-0.58,0.82,NA,-0.98,0.99,NA,1,1,1,1,1,0.97,0.96,1,1,0.98,1,-0.61,1,0.28,0.6,-0.01,0.12,0.18,0.06,1,-0.47,0.28,0.27,-0.28,-0.27,-0.23,-0.21,1,-0.19,-0.18,-0.16,-0.17,0.02,0.22,1,-0.28,0.78,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
"atlas_ewDist",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.25,0.12,0.43,0.59,0.67,-0.04,0.99,0.29,0.24,-0.57,0.83,NA,-0.98,1,NA,1,1,1,1,1,0.98,0.96,1,1,0.98,1,-0.6,1,0.29,0.61,-0.01,0.13,0.18,0.06,1,-0.47,0.28,0.27,-0.28,-0.27,-0.23,-0.2,1,-0.19,-0.18,-0.16,-0.17,0.03,0.22,1,-0.28,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"atlas_maxDist",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.25,0.12,0.43,0.59,0.67,-0.04,0.99,0.29,0.24,-0.58,0.82,NA,-0.98,0.99,NA,1,1,1,1,1,0.98,0.96,1,1,0.98,1,-0.6,1,0.29,0.6,-0.01,0.13,0.18,0.06,1,-0.47,0.28,0.27,-0.28,-0.27,-0.23,-0.2,1,-0.19,-0.18,-0.16,-0.17,0.03,0.22,1,-0.28,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"atlas_lengthMinRect",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.25,0.12,0.43,0.59,0.67,-0.04,0.99,0.29,0.24,-0.58,0.82,NA,-0.98,0.99,NA,1,1,1,1,1,0.98,0.96,1,1,0.98,1,-0.6,1,0.29,0.61,-0.01,0.13,0.18,0.06,1,-0.47,0.28,0.27,-0.28,-0.27,-0.23,-0.2,1,-0.19,-0.18,-0.16,-0.17,0.03,0.22,1,-0.28,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"atlas_widthMinRect",-0.61,0.73,0.73,0.76,0.75,0.7,0.02,-0.24,0.3,0.3,0.29,0.15,0.45,0.61,0.67,-0.03,0.99,0.2,0.22,-0.65,0.77,NA,-1,0.98,NA,1,1,1,1,1,0.95,0.93,1,1,0.99,0.99,-0.67,0.99,0.2,0.53,-0.01,0.11,0.18,0.05,0.99,-0.5,0.32,0.3,-0.32,-0.3,-0.27,-0.24,1,-0.19,-0.19,-0.16,-0.17,0,0.22,1,-0.2,0.77,0.99,0.99,0.12,0.08,-0.22,0.08,-0.62,0.05,0.9
"atlas_elonMinRect",-0.49,0.72,0.72,0.75,0.74,0.69,-0.04,-0.23,0.27,0.27,0.17,0.05,0.38,0.52,0.65,-0.06,0.97,0.47,0.28,-0.38,0.93,NA,-0.92,0.99,NA,0.97,0.98,0.98,0.98,0.95,1,1,0.97,0.97,0.9,0.98,-0.41,0.98,0.49,0.77,0,0.17,0.2,0.07,0.98,-0.38,0.17,0.18,-0.17,-0.18,-0.13,-0.12,0.96,-0.18,-0.16,-0.16,-0.14,0.1,0.21,0.96,-0.45,0.76,0.98,0.98,0.12,0.08,-0.17,0.07,-0.63,-0.01,0.87
"atlas_elonRatio",-0.46,0.71,0.71,0.74,0.73,0.68,-0.05,-0.22,0.26,0.26,0.14,0.03,0.37,0.5,0.64,-0.07,0.95,0.51,0.29,-0.33,0.95,NA,-0.89,0.98,NA,0.96,0.96,0.96,0.96,0.93,1,1,0.96,0.96,0.88,0.97,-0.35,0.96,0.54,0.8,0,0.18,0.2,0.07,0.96,-0.35,0.15,0.15,-0.15,-0.15,-0.1,-0.09,0.95,-0.18,-0.15,-0.15,-0.13,0.12,0.2,0.95,-0.49,0.75,0.97,0.97,0.11,0.08,-0.16,0.07,-0.63,-0.02,0.86
"atlas_circ",-0.59,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.26,0.12,0.44,0.59,0.67,-0.04,0.99,0.28,0.24,-0.59,0.82,NA,-0.99,0.99,NA,1,1,1,1,1,0.97,0.96,1,1,0.98,1,-0.61,1,0.28,0.6,-0.01,0.12,0.18,0.05,1,-0.47,0.29,0.27,-0.29,-0.27,-0.23,-0.21,1,-0.19,-0.18,-0.16,-0.17,0.02,0.22,1,-0.27,0.77,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
"atlas_circNorm",-0.59,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.26,0.12,0.44,0.59,0.67,-0.04,0.99,0.28,0.24,-0.59,0.82,NA,-0.99,0.99,NA,1,1,1,1,1,0.97,0.96,1,1,0.98,1,-0.61,1,0.28,0.6,-0.01,0.12,0.18,0.05,1,-0.47,0.29,0.27,-0.29,-0.27,-0.23,-0.21,1,-0.19,-0.18,-0.16,-0.17,0.02,0.22,1,-0.27,0.77,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
