"","mean_prob_cooccur","nsDist","ewDist","maxDist","lengthMinRect","widthMinRect","elonMinRect","elonRatio","circ","circNorm","relCirc","lin","bearingMinRect","bearing","Dist_toCOD","minDist_toBorder","maxDist_toBorder","sp_COG_long","sp_COG_lat","atlas_xmin","atlas_xmax","atlas_xhalf","atlas_ymin","atlas_ymax","atlas_yhalf","atlas_nsDist","atlas_ewDist","atlas_maxDist","atlas_lengthMinRect","atlas_widthMinRect","atlas_elonMinRect","atlas_elonRatio","atlas_circ","atlas_circNorm","atlas_relCirc","atlas_lin","atlas_bearingMinRect","atlas_bearing","CenterOfGravity_Atlas_long","CenterOfGravity_Atlas_lat","Southernness","Westernness","log_R2_1","Telfer_1_2","Total_area","relative_occupancy_Ncells","m_AOO_s","m_relOcc_s","D_AOO_s","D_relOcc_s","D_AOO_a","D_relOcc_a","total_SR_atlas","sd_PC1","sd_PC2","var_PC1","var_PC2","AlphaSR_sp","BetaSR_sp","GammaSR","avgEffort","global_moran","mean_area","mean_area_cropped","HWI","Mass","Range.Size","FP","start_year","end_year","SampPeriodLength"
"atlas_relCirc",-0.65,0.71,0.72,0.74,0.73,0.68,0.04,-0.24,0.3,0.3,0.33,0.18,0.46,0.63,0.67,-0.01,0.97,0.1,0.18,-0.74,0.68,NA,-1,0.95,NA,0.98,0.98,0.98,0.98,0.99,0.9,0.88,0.98,0.98,1,0.97,-0.76,0.97,0.08,0.42,-0.01,0.08,0.16,0.04,0.97,-0.54,0.37,0.35,-0.37,-0.35,-0.31,-0.28,0.99,-0.18,-0.2,-0.16,-0.18,-0.05,0.22,0.99,-0.1,0.75,0.97,0.97,0.12,0.07,-0.23,0.08,-0.6,0.07,0.89
"atlas_lin",-0.57,0.73,0.74,0.76,0.75,0.7,-0.01,-0.24,0.29,0.29,0.24,0.1,0.42,0.58,0.67,-0.04,0.99,0.32,0.25,-0.54,0.85,NA,-0.97,1,NA,1,1,1,1,0.99,0.98,0.97,1,1,0.97,1,-0.56,1,0.33,0.64,-0.01,0.13,0.19,0.06,1,-0.45,0.26,0.25,-0.26,-0.25,-0.21,-0.19,1,-0.19,-0.18,-0.16,-0.16,0.04,0.22,1,-0.32,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"atlas_bearingMinRect",0.64,-0.43,-0.43,-0.44,-0.44,-0.4,-0.14,0.16,-0.22,-0.22,-0.45,-0.32,-0.4,-0.55,-0.43,-0.07,-0.59,0.51,0.04,1,-0.04,NA,0.73,-0.51,NA,-0.61,-0.6,-0.6,-0.6,-0.67,-0.41,-0.35,-0.61,-0.61,-0.76,-0.56,1,-0.59,0.59,0.27,0.02,0.08,-0.05,0.01,-0.59,0.58,-0.52,-0.47,0.52,0.47,0.47,0.41,-0.64,0.12,0.18,0.09,0.18,0.25,-0.15,-0.64,-0.47,-0.44,-0.57,-0.57,-0.07,-0.04,0.23,-0.06,0.32,-0.17,-0.57
"atlas_bearing",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.25,0.12,0.43,0.59,0.67,-0.04,0.99,0.29,0.24,-0.57,0.83,NA,-0.98,1,NA,1,1,1,1,0.99,0.98,0.96,1,1,0.97,1,-0.59,1,0.3,0.61,-0.01,0.13,0.18,0.06,1,-0.47,0.28,0.27,-0.28,-0.27,-0.22,-0.2,1,-0.19,-0.18,-0.16,-0.17,0.03,0.22,1,-0.29,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"CenterOfGravity_Atlas_long",0.18,0.22,0.23,0.24,0.24,0.23,-0.17,-0.04,0.03,0.03,-0.28,-0.26,-0.05,-0.07,0.17,-0.12,0.29,0.9,0.29,0.61,0.78,NA,-0.11,0.39,NA,0.28,0.29,0.29,0.29,0.2,0.49,0.54,0.28,0.28,0.08,0.33,0.59,0.3,1,0.94,0.02,0.22,0.13,0.07,0.3,0.22,-0.34,-0.3,0.34,0.3,0.33,0.29,0.25,-0.05,0.04,-0.05,0.04,0.32,0.04,0.25,-0.84,0.25,0.32,0.32,0.03,0.03,0.06,0.01,-0.25,-0.17,0.23
"CenterOfGravity_Atlas_lat",-0.06,0.45,0.46,0.47,0.47,0.44,-0.14,-0.12,0.13,0.13,-0.14,-0.17,0.12,0.16,0.38,-0.12,0.6,0.85,0.33,0.3,0.95,NA,-0.45,0.68,NA,0.6,0.61,0.6,0.61,0.53,0.77,0.8,0.6,0.6,0.42,0.64,0.27,0.61,0.94,1,0.01,0.23,0.17,0.08,0.61,0.01,-0.19,-0.15,0.19,0.15,0.19,0.17,0.57,-0.11,-0.04,-0.1,-0.03,0.28,0.11,0.57,-0.8,0.49,0.63,0.63,0.07,0.05,-0.02,0.04,-0.44,-0.13,0.51
"Southernness",-0.06,-0.11,-0.04,0,0.02,-0.01,0.1,0.08,-0.04,-0.04,0.01,0.09,0.01,0.06,-0.13,0.03,-0.04,-0.08,-0.8,0.02,0.01,NA,0.01,-0.01,NA,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,0.02,0.01,1,0.07,0.16,0.07,-0.01,-0.06,0.08,0.05,-0.08,-0.05,-0.08,-0.03,-0.01,-0.06,0.25,-0.01,0.24,0.27,-0.03,-0.01,0.14,-0.02,-0.01,-0.01,-0.12,-0.04,0.01,-0.01,-0.05,-0.06,0.03
"Westernness",0.09,0.18,0.18,0.19,0.19,0.14,-0.02,-0.03,0.11,0.11,-0.14,-0.04,0.03,-0.06,-0.02,-0.05,0.08,-0.18,-0.13,0.09,0.22,NA,-0.09,0.15,NA,0.12,0.13,0.13,0.13,0.11,0.17,0.18,0.12,0.12,0.08,0.13,0.08,0.13,0.22,0.23,0.07,1,-0.12,-0.09,0.13,0.12,-0.19,-0.17,0.19,0.17,0.18,0.19,0.12,0.09,-0.01,0.09,0.02,0.24,-0.18,0.12,-0.27,0.1,0.13,0.13,0.06,0.04,0.1,0.04,-0.09,-0.02,0.11
"log_R2_1",-0.21,0.04,0.07,0.07,0.07,0.06,0.07,0.01,-0.04,-0.04,0.15,0.09,0.07,0.13,0.16,0.02,0.18,0.17,-0.01,-0.04,0.19,NA,-0.17,0.19,NA,0.18,0.18,0.18,0.18,0.18,0.2,0.2,0.18,0.18,0.16,0.19,-0.05,0.18,0.13,0.17,0.16,-0.12,1,0.71,0.18,-0.21,0.25,0.24,-0.25,-0.24,-0.24,-0.23,0.18,0.04,0.1,0.04,0.09,0.12,0,0.18,-0.09,0.03,0.19,0.19,0.03,0.15,-0.06,0.03,-0.15,-0.04,0.18
"Telfer_1_2",0.03,0.04,0.05,0.04,0.05,0.06,-0.01,-0.03,-0.07,-0.07,-0.04,0.02,0,0.01,0,0.01,0.06,0.11,-0.01,0.02,0.08,NA,-0.04,0.06,NA,0.06,0.06,0.06,0.06,0.05,0.07,0.07,0.05,0.05,0.04,0.06,0.01,0.06,0.07,0.08,0.07,-0.09,0.71,1,0.06,0.05,0.04,0.04,-0.04,-0.04,-0.04,-0.04,0.05,0.07,0.1,0.07,0.09,0.11,-0.02,0.05,-0.06,-0.05,0.06,0.06,-0.02,0.12,0.08,-0.05,-0.07,-0.04,0.06
"Total_area",-0.58,0.73,0.74,0.76,0.75,0.7,0,-0.24,0.29,0.29,0.25,0.12,0.43,0.58,0.67,-0.04,0.99,0.3,0.24,-0.57,0.83,NA,-0.98,1,NA,1,1,1,1,0.99,0.98,0.96,1,1,0.97,1,-0.59,1,0.3,0.61,-0.01,0.13,0.18,0.06,1,-0.47,0.28,0.26,-0.28,-0.26,-0.22,-0.2,1,-0.19,-0.18,-0.16,-0.17,0.03,0.22,1,-0.29,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"relative_occupancy_Ncells",0.97,-0.14,-0.15,-0.17,-0.16,-0.09,-0.27,0.03,-0.12,-0.12,-0.82,-0.33,-0.36,-0.48,-0.54,-0.11,-0.44,0.16,-0.05,0.57,-0.18,NA,0.53,-0.43,NA,-0.47,-0.47,-0.47,-0.47,-0.5,-0.38,-0.35,-0.47,-0.47,-0.54,-0.45,0.58,-0.47,0.22,0.01,-0.06,0.12,-0.21,0.05,-0.47,1,-0.81,-0.8,0.81,0.8,0.82,0.8,-0.49,0.18,0.22,0.14,0.21,0.15,-0.17,-0.49,-0.17,-0.33,-0.46,-0.46,-0.25,-0.14,0.29,-0.11,0.21,-0.14,-0.4
"m_AOO_s",-0.73,-0.18,-0.18,-0.16,-0.16,-0.24,0.4,0.11,-0.31,-0.31,0.6,0.48,0.21,0.31,0.56,0.21,0.23,-0.26,-0.06,-0.53,-0.02,NA,-0.36,0.23,NA,0.28,0.28,0.28,0.28,0.32,0.17,0.15,0.29,0.29,0.37,0.26,-0.52,0.28,-0.34,-0.19,0.08,-0.19,0.25,0.04,0.28,-0.81,1,0.99,-1,-0.99,-0.99,-0.98,0.3,-0.24,-0.27,-0.19,-0.25,-0.35,0.23,0.3,0.31,-0.03,0.27,0.26,0.17,0.14,-0.33,0.04,-0.01,0.23,0.17
"m_relOcc_s",-0.72,-0.2,-0.21,-0.19,-0.19,-0.27,0.4,0.11,-0.33,-0.33,0.58,0.48,0.2,0.28,0.6,0.2,0.22,-0.22,-0.01,-0.47,0,NA,-0.33,0.23,NA,0.27,0.27,0.27,0.27,0.3,0.18,0.15,0.27,0.27,0.35,0.25,-0.47,0.27,-0.3,-0.15,0.05,-0.17,0.24,0.04,0.26,-0.8,0.99,1,-0.99,-1,-1,-0.99,0.29,-0.23,-0.28,-0.18,-0.26,-0.39,0.25,0.29,0.26,-0.03,0.26,0.25,0.2,0.14,-0.32,0.05,0.03,0.25,0.14
"D_AOO_s",0.73,0.18,0.18,0.16,0.16,0.24,-0.4,-0.11,0.31,0.31,-0.6,-0.48,-0.21,-0.31,-0.56,-0.21,-0.23,0.26,0.06,0.53,0.02,NA,0.36,-0.23,NA,-0.28,-0.28,-0.28,-0.28,-0.32,-0.17,-0.15,-0.29,-0.29,-0.37,-0.26,0.52,-0.28,0.34,0.19,-0.08,0.19,-0.25,-0.04,-0.28,0.81,-1,-0.99,1,0.99,0.99,0.98,-0.3,0.24,0.27,0.19,0.25,0.35,-0.23,-0.3,-0.31,0.03,-0.27,-0.26,-0.17,-0.14,0.33,-0.04,0.01,-0.23,-0.17
"D_relOcc_s",0.72,0.2,0.21,0.19,0.19,0.27,-0.4,-0.11,0.33,0.33,-0.58,-0.48,-0.2,-0.28,-0.6,-0.2,-0.22,0.22,0.01,0.47,0,NA,0.33,-0.23,NA,-0.27,-0.27,-0.27,-0.27,-0.3,-0.18,-0.15,-0.27,-0.27,-0.35,-0.25,0.47,-0.27,0.3,0.15,-0.05,0.17,-0.24,-0.04,-0.26,0.8,-0.99,-1,0.99,1,1,0.99,-0.29,0.23,0.28,0.18,0.26,0.39,-0.25,-0.29,-0.26,0.03,-0.26,-0.25,-0.2,-0.14,0.32,-0.05,-0.03,-0.25,-0.14
"D_AOO_a",0.73,0.21,0.22,0.2,0.2,0.28,-0.4,-0.12,0.32,0.32,-0.61,-0.48,-0.2,-0.28,-0.55,-0.21,-0.18,0.26,0.05,0.47,0.05,NA,0.3,-0.18,NA,-0.23,-0.23,-0.23,-0.23,-0.27,-0.13,-0.1,-0.23,-0.23,-0.31,-0.21,0.47,-0.22,0.33,0.19,-0.08,0.18,-0.24,-0.04,-0.22,0.82,-0.99,-1,0.99,1,1,0.99,-0.25,0.22,0.26,0.17,0.25,0.36,-0.22,-0.25,-0.29,0.05,-0.21,-0.21,-0.19,-0.13,0.31,-0.04,-0.04,-0.23,-0.11
"D_relOcc_a",0.71,0.23,0.25,0.23,0.23,0.31,-0.4,-0.13,0.34,0.34,-0.6,-0.46,-0.18,-0.26,-0.56,-0.2,-0.16,0.22,-0.02,0.41,0.04,NA,0.27,-0.17,NA,-0.21,-0.2,-0.2,-0.2,-0.24,-0.12,-0.09,-0.21,-0.21,-0.28,-0.19,0.41,-0.2,0.29,0.17,-0.03,0.19,-0.23,-0.04,-0.2,0.8,-0.98,-0.99,0.98,0.99,0.99,1,-0.22,0.21,0.27,0.17,0.25,0.37,-0.23,-0.22,-0.26,0.07,-0.19,-0.19,-0.21,-0.14,0.3,-0.05,-0.07,-0.24,-0.07
"total_SR_atlas",-0.6,0.73,0.74,0.76,0.75,0.7,0.01,-0.24,0.29,0.29,0.27,0.13,0.44,0.6,0.67,-0.03,0.99,0.25,0.23,-0.61,0.8,NA,-0.99,0.99,NA,1,1,1,1,1,0.96,0.95,1,1,0.99,1,-0.64,1,0.25,0.57,-0.01,0.12,0.18,0.05,1,-0.49,0.3,0.29,-0.3,-0.29,-0.25,-0.22,1,-0.19,-0.19,-0.16,-0.17,0.01,0.22,1,-0.25,0.77,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
"sd_PC1",0.15,0.08,0.11,0.09,0.08,0.07,-0.01,0.05,0.2,0.2,-0.02,-0.08,-0.03,-0.08,-0.31,-0.01,-0.16,-0.11,0.04,0.11,-0.15,NA,0.19,-0.19,NA,-0.19,-0.19,-0.19,-0.19,-0.19,-0.18,-0.18,-0.19,-0.19,-0.18,-0.19,0.12,-0.19,-0.05,-0.11,-0.06,0.09,0.04,0.07,-0.19,0.18,-0.24,-0.23,0.24,0.23,0.22,0.21,-0.19,1,0.62,0.97,0.62,0.16,-0.11,-0.19,0.06,-0.12,-0.19,-0.19,0.05,0.04,0.68,0.15,0.03,-0.1,-0.11
"sd_PC2",0.19,-0.01,0.05,0.06,0.06,0.08,-0.09,-0.02,0.14,0.14,-0.11,-0.12,-0.05,-0.07,-0.33,0,-0.16,0.02,-0.25,0.18,-0.1,NA,0.2,-0.17,NA,-0.18,-0.18,-0.18,-0.18,-0.19,-0.16,-0.15,-0.18,-0.18,-0.2,-0.18,0.18,-0.18,0.04,-0.04,0.25,-0.01,0.1,0.1,-0.18,0.22,-0.27,-0.28,0.27,0.28,0.26,0.27,-0.19,0.62,1,0.58,0.98,0.26,-0.12,-0.19,0.01,-0.09,-0.18,-0.18,-0.06,0.05,0.57,0.07,-0.01,-0.15,-0.09
"var_PC1",0.12,0.06,0.08,0.07,0.06,0.05,-0.02,0.04,0.18,0.18,-0.02,-0.07,-0.03,-0.07,-0.25,-0.01,-0.14,-0.1,0,0.09,-0.13,NA,0.16,-0.16,NA,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.15,-0.16,-0.16,-0.16,-0.16,0.09,-0.16,-0.05,-0.1,-0.01,0.09,0.04,0.07,-0.16,0.14,-0.19,-0.18,0.19,0.18,0.17,0.17,-0.16,0.97,0.58,1,0.6,0.11,-0.08,-0.16,0.06,-0.11,-0.16,-0.16,0.04,0.02,0.68,0.15,0.04,-0.07,-0.1
"var_PC2",0.18,-0.02,0.04,0.05,0.05,0.07,-0.09,-0.01,0.14,0.14,-0.12,-0.12,-0.05,-0.07,-0.31,0,-0.15,0.01,-0.24,0.17,-0.08,NA,0.18,-0.16,NA,-0.17,-0.17,-0.17,-0.17,-0.17,-0.14,-0.13,-0.17,-0.17,-0.18,-0.16,0.18,-0.17,0.04,-0.03,0.24,0.02,0.09,0.09,-0.17,0.21,-0.25,-0.26,0.25,0.26,0.25,0.25,-0.17,0.62,0.98,0.6,1,0.24,-0.11,-0.17,0,-0.09,-0.16,-0.16,-0.06,0.05,0.57,0.06,0,-0.13,-0.09
"AlphaSR_sp",0.07,0.27,0.32,0.31,0.31,0.38,-0.24,-0.15,0.33,0.33,-0.07,-0.27,0.04,0.07,-0.52,0.04,0.01,0.21,-0.19,0.25,0.21,NA,0.03,0.06,NA,0.02,0.03,0.03,0.03,0,0.1,0.12,0.02,0.02,-0.05,0.04,0.25,0.03,0.32,0.28,0.27,0.24,0.12,0.11,0.03,0.15,-0.35,-0.39,0.35,0.39,0.36,0.37,0.01,0.16,0.26,0.11,0.24,1,-0.49,0.01,-0.26,0.08,0.04,0.04,-0.11,0.01,0.15,0.04,-0.17,-0.19,0.11
"BetaSR_sp",-0.16,0,-0.02,-0.01,-0.01,-0.03,0.04,-0.06,-0.1,-0.1,0.04,0.13,0.03,0.07,0.41,-0.02,0.23,0.14,0.08,-0.15,0.17,NA,-0.22,0.21,NA,0.22,0.22,0.22,0.22,0.22,0.21,0.2,0.22,0.22,0.22,0.22,-0.15,0.22,0.04,0.11,-0.03,-0.18,0,-0.02,0.22,-0.17,0.23,0.25,-0.23,-0.25,-0.22,-0.23,0.22,-0.11,-0.12,-0.08,-0.11,-0.49,1,0.22,-0.05,0.14,0.22,0.22,0.03,0.02,-0.12,0.01,-0.11,0.04,0.18
"GammaSR",-0.6,0.73,0.74,0.76,0.75,0.7,0.01,-0.24,0.29,0.29,0.27,0.13,0.44,0.6,0.67,-0.03,0.99,0.25,0.23,-0.61,0.8,NA,-0.99,0.99,NA,1,1,1,1,1,0.96,0.95,1,1,0.99,1,-0.64,1,0.25,0.57,-0.01,0.12,0.18,0.05,1,-0.49,0.3,0.29,-0.3,-0.29,-0.25,-0.22,1,-0.19,-0.19,-0.16,-0.17,0.01,0.22,1,-0.25,0.77,1,1,0.12,0.08,-0.21,0.08,-0.63,0.04,0.9
"avgEffort",-0.14,-0.21,-0.22,-0.23,-0.23,-0.22,0.17,0.1,-0.07,-0.07,0.24,0.23,0.04,0.05,-0.17,0.07,-0.28,-0.75,-0.27,-0.49,-0.68,NA,0.13,-0.36,NA,-0.28,-0.28,-0.28,-0.28,-0.2,-0.45,-0.49,-0.27,-0.27,-0.1,-0.32,-0.47,-0.29,-0.84,-0.8,0.14,-0.27,-0.09,-0.06,-0.29,-0.17,0.31,0.26,-0.31,-0.26,-0.29,-0.26,-0.25,0.06,0.01,0.06,0,-0.26,-0.05,-0.25,1,-0.25,-0.31,-0.31,-0.04,-0.04,-0.04,0.03,0.2,0.09,-0.22
"global_moran",-0.47,0.72,0.71,0.72,0.7,0.71,-0.13,-0.3,0.33,0.33,0.13,-0.04,0.4,0.52,0.43,-0.12,0.79,0.24,0.23,-0.42,0.66,NA,-0.76,0.77,NA,0.78,0.78,0.78,0.78,0.77,0.76,0.75,0.77,0.77,0.75,0.78,-0.44,0.78,0.25,0.49,-0.02,0.1,0.03,-0.05,0.78,-0.33,-0.03,-0.03,0.03,0.03,0.05,0.07,0.77,-0.12,-0.09,-0.11,-0.09,0.08,0.14,0.77,-0.25,1,0.78,0.78,0,0.01,-0.12,0.04,-0.57,-0.05,0.76
"mean_area",-0.57,0.73,0.74,0.76,0.75,0.7,-0.01,-0.24,0.29,0.29,0.24,0.11,0.43,0.58,0.67,-0.04,0.99,0.31,0.25,-0.55,0.84,NA,-0.98,1,NA,1,1,1,1,0.99,0.98,0.97,1,1,0.97,1,-0.57,1,0.32,0.63,-0.01,0.13,0.19,0.06,1,-0.46,0.27,0.26,-0.27,-0.26,-0.21,-0.19,1,-0.19,-0.18,-0.16,-0.16,0.04,0.22,1,-0.31,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"mean_area_cropped",-0.57,0.73,0.74,0.76,0.75,0.7,-0.01,-0.24,0.29,0.29,0.24,0.11,0.43,0.58,0.67,-0.04,0.99,0.32,0.25,-0.55,0.84,NA,-0.98,1,NA,1,1,1,1,0.99,0.98,0.97,1,1,0.97,1,-0.57,1,0.32,0.63,-0.01,0.13,0.19,0.06,1,-0.46,0.26,0.25,-0.26,-0.25,-0.21,-0.19,1,-0.19,-0.18,-0.16,-0.16,0.04,0.22,1,-0.31,0.78,1,1,0.12,0.08,-0.2,0.08,-0.63,0.03,0.9
"HWI",-0.24,0.1,0.1,0.09,0.1,0.03,0.16,0.09,0.13,0.13,0.31,0.08,0.13,0.11,0.19,-0.01,0.13,0,0.2,-0.07,0.1,NA,-0.12,0.12,NA,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,-0.07,0.12,0.03,0.07,-0.12,0.06,0.03,-0.02,0.12,-0.25,0.17,0.2,-0.17,-0.2,-0.19,-0.21,0.12,0.05,-0.06,0.04,-0.06,-0.11,0.03,0.12,-0.04,0,0.12,0.12,1,0.19,0.1,0.09,-0.04,0.04,0.09
"Mass",-0.13,0.01,0.03,0.04,0.04,-0.01,0.13,0.04,-0.02,-0.02,0.16,0.14,0.03,0.06,0.07,0,0.07,0.02,0.05,-0.04,0.07,NA,-0.07,0.08,NA,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,-0.04,0.08,0.03,0.05,-0.04,0.04,0.15,0.12,0.08,-0.14,0.14,0.14,-0.14,-0.14,-0.13,-0.14,0.08,0.04,0.05,0.02,0.05,0.01,0.02,0.08,-0.04,0.01,0.08,0.08,0.19,1,-0.04,0.12,-0.04,0,0.06
"Range.Size",0.24,0.07,0.06,0.05,0.05,0.08,-0.12,-0.07,0.16,0.16,-0.14,-0.14,-0.08,-0.14,-0.3,-0.06,-0.17,0.01,-0.05,0.22,-0.1,NA,0.22,-0.19,NA,-0.21,-0.2,-0.2,-0.2,-0.22,-0.17,-0.16,-0.21,-0.21,-0.23,-0.2,0.23,-0.2,0.06,-0.02,0.01,0.1,-0.06,0.08,-0.2,0.29,-0.33,-0.32,0.33,0.32,0.31,0.3,-0.21,0.68,0.57,0.68,0.57,0.15,-0.12,-0.21,-0.04,-0.12,-0.2,-0.2,0.1,-0.04,1,0.06,0.09,-0.06,-0.17
"FP",-0.1,0.05,0.06,0.07,0.07,0.04,0.04,0.02,0.06,0.06,0.13,0,0.08,0.1,0.08,0.01,0.08,-0.02,0.1,-0.06,0.06,NA,-0.08,0.08,NA,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.08,0.08,-0.06,0.08,0.01,0.04,-0.01,0.04,0.03,-0.05,0.08,-0.11,0.04,0.05,-0.04,-0.05,-0.04,-0.05,0.08,0.15,0.07,0.15,0.06,0.04,0.01,0.08,0.03,0.04,0.08,0.08,0.09,0.12,0.06,1,-0.07,-0.02,0.09
"start_year",0.33,-0.6,-0.64,-0.65,-0.64,-0.61,0.03,0.15,-0.32,-0.32,-0.14,-0.01,-0.33,-0.43,-0.23,0.04,-0.64,-0.24,-0.1,0.31,-0.56,NA,0.61,-0.63,NA,-0.63,-0.63,-0.63,-0.63,-0.62,-0.63,-0.63,-0.63,-0.63,-0.6,-0.63,0.32,-0.63,-0.25,-0.44,-0.05,-0.09,-0.15,-0.07,-0.63,0.21,-0.01,0.03,0.01,-0.03,-0.04,-0.07,-0.63,0.03,-0.01,0.04,0,-0.17,-0.11,-0.63,0.2,-0.57,-0.63,-0.63,-0.04,-0.04,0.09,-0.07,1,0.73,-0.87
"end_year",-0.09,-0.12,-0.15,-0.15,-0.14,-0.15,0.03,-0.02,-0.12,-0.12,0.07,0.09,-0.04,-0.02,0.23,0.02,0.02,-0.15,0.03,-0.17,-0.08,NA,-0.07,0.02,NA,0.04,0.03,0.03,0.03,0.05,-0.01,-0.02,0.04,0.04,0.07,0.03,-0.17,0.03,-0.17,-0.13,-0.06,-0.02,-0.04,-0.04,0.03,-0.14,0.23,0.25,-0.23,-0.25,-0.23,-0.24,0.04,-0.1,-0.15,-0.07,-0.13,-0.19,0.04,0.04,0.09,-0.05,0.03,0.03,0.04,0,-0.06,-0.02,0.73,1,-0.3
"SampPeriodLength",-0.52,0.75,0.77,0.79,0.78,0.74,-0.02,-0.22,0.36,0.36,0.24,0.07,0.43,0.58,0.48,-0.04,0.9,0.23,0.16,-0.55,0.72,NA,-0.89,0.89,NA,0.9,0.9,0.9,0.9,0.9,0.87,0.86,0.9,0.9,0.89,0.9,-0.57,0.9,0.23,0.51,0.03,0.11,0.18,0.06,0.9,-0.4,0.17,0.14,-0.17,-0.14,-0.11,-0.07,0.9,-0.11,-0.09,-0.1,-0.09,0.11,0.18,0.9,-0.22,0.76,0.9,0.9,0.09,0.06,-0.17,0.09,-0.87,-0.3,1
